county_tract,count_bagel_shops,rating_num,total_pop,state_county_tract,ALAND_SQMI,bagel_per_capita,bagel_per_capita_sq
047007000,6,3.5,2538.0,36047007000,0.058,2.3640661938534278,1.537552013381475
047022100,6,3.5,3976.0,36047022100,0.059,1.5090543259557343,1.228435723168182
081009700,6,3.1666666666666665,3693.0,36081009700,0.078,1.6246953696181965,1.2746353869315714
047019700,6,3.0,3714.0,36047019700,0.066,1.6155088852988693,1.271026705187137
047001800,6,3.6,1897.0,36047001800,0.78,3.16288877174486,1.7784512283852094
047003600,6,3.6666666666666665,3500.0,36047003600,0.048,1.7142857142857142,1.3093073414159542
047031500,6,3.0,4970.0,36047031500,0.07,1.2072434607645874,1.0987463131972672
081010100,6,3.1666666666666665,2382.0,36081010100,0.067,2.5188916876574305,1.5871016626723793
047002901,6,3.0,4447.0,36047002901,0.042,1.3492241960872497,1.1615611030364479
047004600,6,3.3333333333333335,1301.0,36047004600,0.112,4.611837048424289,2.147518812123491
047024300,6,3.0,4122.0,36047024300,0.06,1.455604075691412,1.2064841796274877
047038800,6,4.2,4094.0,36047038800,0.076,1.4655593551538837,1.2106028891233838
061000900,6,2.6666666666666665,1796.0,36061000900,0.117,3.34075723830735,1.8277738476921455
047054500,6,3.6666666666666665,8138.0,36047054500,0.065,0.7372818874416319,0.8586512024341618
047054400,6,2.8,3487.0,36047054400,0.073,1.720676799541153,1.311745706888783
047054900,6,3.6666666666666665,4171.0,36047054900,0.075,1.4385039558858788,1.1993764862985596
047056500,6,3.4,3156.0,36047056500,0.092,1.9011406844106464,1.3788185828493342
047057300,6,3.4,2457.0,36047057300,0.066,2.442002442002442,1.5626907697949848
047057500,6,3.4,3983.0,36047057500,0.07,1.5064022093899072,1.2273557794665355
047059200,6,3.3333333333333335,4152.0,36047059200,0.085,1.445086705202312,1.2021175920858624
047014500,6,3.8,3815.0,36047014500,0.084,1.5727391874180865,1.2540889870412253
047068200,6,2.0,2832.0,36047068200,0.078,2.1186440677966103,1.455556274348955
061023801,6,3.0,6354.0,36061023801,0.136,0.9442870632672333,0.9717443404863407
